,title,author,best,image,score
135,Sutton,J.R. Moehringer,1,Sutton.jpg,0.999984860420227
136,A Fool's Gold Christmas,Susan Mallery,1,A Fool's Gold Christmas.jpg,0.9998488426208496
137,Mad River,John Sandford,1,Mad River.jpg,1.0
138,Dark Storm,Christine Feehan,1,Dark Storm.jpg,1.0
139,Live by Night,Dennis Lehane,1,Live by Night.jpg,1.0
140,This Book Is Full of Spiders,David Wong,1,This Book Is Full of Spiders.jpg,0.9999997615814209
141,In Sunlight and In Shadow,Mark Helprin,1,In Sunlight and In Shadow.jpg,0.9973909258842468
142,The Round House,Louise Erdrich,1,The Round House.jpg,0.9999995231628418
143,Redoubt,Mercedes Lackey,1,Redoubt.jpg,1.0
144,NYPD Red 2,James Patterson,1,NYPD Red 2.jpg,0.4915483295917511
145,Into the Woods,Kim Harrison,1,Into the Woods.jpg,0.9999985694885254
146,A Thousand Mornings,Mary Oliver,1,A Thousand Mornings.jpg,0.8176754713058472
147,The Panther,Nelson DeMille,1,The Panther.jpg,1.0
148,The Twelve,Justin Cronin,1,The Twelve.jpg,0.9999988079071045
149,The Bone Bed,Patricia Daniels Cornwell,1,The Bone Bed.jpg,1.0
150,The Secret Keeper,Kate Morton,1,The Secret Keeper.jpg,0.9995902180671692
151,Sleep No More,Iris Johansen,1,Sleep No More.jpg,0.9999748468399048
152,An Irish Country Wedding,Patrick Taylor,1,An Irish Country Wedding.jpg,0.9989656209945679
153,The Racketeer,John Grisham,1,The Racketeer.jpg,0.9999995231628418
154,Back to Blood,Tom Wolfe,1,Back to Blood.jpg,0.9664322733879089
155,The Bridge,Karen Kingsbury,1,The Bridge.jpg,0.999988317489624
156,Angels at the Table,Debbie Macomber,1,Angels at the Table.jpg,0.9999996423721313
157,The Yellow Birds,Kevin Powers,1,The Yellow Birds.jpg,0.9554051160812378
158,The Uncommon Appeal of Clouds,Alexander McCall Smith,1,The Uncommon Appeal of Clouds.jpg,0.998297393321991
159,The Sins of the Mother,Danielle Steel,1,The Sins of the Mother.jpg,1.0
160,A Winter Dream,Richard Paul Evans,1,A Winter Dream.jpg,0.9999901056289673
161,Iced,Karen Marie Moning,1,Iced.jpg,0.9999743700027466
162,The Giving Quilt,Jennifer Chiaverini,1,The Giving Quilt.jpg,0.9999988079071045
163,Poseidon's Arrow,Clive Cussler,1,Poseidon's Arrow.jpg,1.0
164,Flight Behavior,Barbara Kingsolver,1,Flight Behavior.jpg,0.9999954700469971
165,Captain Vorpatril's Alliance,Lois McMaster Bujold,1,Captain Vorpatril's Alliance.jpg,1.0
166,The Last Man,Vince Flynn,1,The Last Man.jpg,0.9984732270240784
167,"Merry Christmas, Alex Cross",James Patterson,1,"Merry Christmas, Alex Cross.jpg",1.0
168,Sweet Tooth,Ian McEwan,1,Sweet Tooth.jpg,0.9999997615814209
169,Cross Roads,Wm. Paul Young,1,Cross Roads.jpg,0.9999998807907104
170,Dear Life,Alice Munro,1,Dear Life.jpg,0.9998278617858887
171,Notorious Nineteen,Janet Evanovich,1,Notorious Nineteen.jpg,1.0
172,The Forgotten,David Baldacci,1,The Forgotten.jpg,1.0
173,Agenda 21,Glenn Beck,1,Agenda 21.jpg,1.0
174,Heroes Proved,Oliver North,1,Heroes Proved.jpg,1.0
175,Cold Days,Jim Butcher,1,Cold Days.jpg,1.0
176,The Black Box,Michael Connelly,1,The Black Box.jpg,0.9714403748512268
177,Threat Vector,Tom Clancy,1,Threat Vector.jpg,1.0
178,The Twelve Tribes of Hattie,Ayana Mathis,1,The Twelve Tribes of Hattie.jpg,0.9999988079071045
179,Two Graves,Douglas Preston,1,Two Graves.jpg,1.0
180,Empire and Honor,W.E.B. Griffin,1,Empire and Honor.jpg,1.0
181,Shadow Woman,Linda Howard,1,Shadow Woman.jpg,1.0
182,A Memory of Light,Robert Jordan,1,A Memory of Light.jpg,1.0
183,Tenth of December,George Saunders,1,Tenth of December.jpg,0.9999998807907104
184,Kinsey and Me,Sue Grafton,1,Kinsey and Me.jpg,0.9999638795852661
185,Collateral Damage,Stuart Woods,1,Collateral Damage.jpg,0.9999940395355225
186,The Husband List,Janet Evanovich,1,The Husband List.jpg,0.9999997615814209
187,The Blood Gospel,James Rollins,1,The Blood Gospel.jpg,1.0
188,Dream Eyes,Jayne Ann Krentz,1,Dream Eyes.jpg,0.9999779462814331
189,1356,Bernard Cornwell,1,1356.jpg,0.9999996423721313
190,Me Before You,Jojo Moyes,1,Me Before You.jpg,0.9999887943267822
191,Robert B. Parker's Ironhorse,Robert Knott,1,Robert B. Parker's Ironhorse.jpg,0.999998927116394
192,The Fifth Assassin,Brad Meltzer,1,The Fifth Assassin.jpg,1.0
193,The Third Bullet,Stephen Hunter,1,The Third Bullet.jpg,1.0
194,Mrs. Lincoln's Dressmaker,Jennifer Chiaverini,1,Mrs. Lincoln's Dressmaker.jpg,1.0
195,Standing in Another Man's Grave,Ian Rankin,1,Standing in Another Man's Grave.jpg,0.7865299582481384
196,The Aviator's Wife,Melanie Benjamin,1,The Aviator's Wife.jpg,0.9982663989067078
197,Private Berlin,James Patterson,1,Private Berlin.jpg,1.0
198,Suspect,Robert Crais,1,Suspect.jpg,0.9999946355819702
199,Ever After,Kim Harrison,1,Ever After.jpg,1.0
200,Until the End of Time,Danielle Steel,1,Until the End of Time.jpg,0.9989528656005859
201,A Deeper Love Inside,Sister Souljah,1,A Deeper Love Inside.jpg,0.9999971389770508
202,Speaking From Among the Bones,Alan Bradley,1,Speaking From Among the Bones.jpg,0.9999957084655762
203,Insane City,Dave Barry,1,Insane City.jpg,0.9926772117614746
204,Proof of Guilt,Charles Todd,1,Proof of Guilt.jpg,0.9999994039535522
205,Deadly Stakes,J.A. Jance,1,Deadly Stakes.jpg,1.0
206,House of Earth,Woody Guthrie,1,House of Earth.jpg,0.9989796280860901
207,A Week in Winter,Maeve Binchy,1,A Week in Winter.jpg,0.9999822378158569
208,Guilt,Jonathan Kellerman,1,Guilt.jpg,1.0
209,The Dinner,Herman Koch,1,The Dinner.jpg,0.9999997615814209
210,The Night Ranger,Alex Berenson,1,The Night Ranger.jpg,1.0
211,The Power Trip,Jackie Collins,1,The Power Trip.jpg,0.994971752166748
212,Vampires in the Lemon Grove,Karen Russell,1,Vampires in the Lemon Grove.jpg,0.9991844296455383
213,The Daylight War: Book Three of The Demon Cycle,Peter V. Brett,1,The Daylight War: Book Three of The Demon Cycle.jpg,0.9999780654907227
214,"Alex Cross, Run",James Patterson,1,"Alex Cross, Run.jpg",1.0
215,The Sound of Broken Glass,Deborah Crombie,1,The Sound of Broken Glass.jpg,1.0
216,Ghostman,Roger Hobbs,1,Ghostman.jpg,0.9984508752822876
217,Calculated in Death,J. D. Robb,1,Calculated in Death.jpg,1.0
218,The Storyteller,Jodi Picoult,1,The Storyteller.jpg,1.0
219,Red Velvet Cupcake Murder,Joanne Fluke,1,Red Velvet Cupcake Murder.jpg,0.9207586050033569
220,Edge of Dawn,Lara Adrian,1,Edge of Dawn.jpg,0.9999417066574097
221,Frost Burned,Patricia Briggs,1,Frost Burned.jpg,0.3766893744468689
222,The Striker,Clive Cussler,1,The Striker.jpg,1.0
223,Damascus Countdown,Joel C. Rosenberg,1,Damascus Countdown.jpg,1.0
224,The Chance,Karen Kingsbury,1,The Chance.jpg,0.9943559169769287
225,The Last Threshold,R. A. Salvatore,1,The Last Threshold.jpg,1.0
226,Shadow of Freedom,David Weber,1,Shadow of Freedom.jpg,0.9999992847442627
227,Night Moves,Randy Wayne White,1,Night Moves.jpg,1.0
228,Sweet Tea Revenge,Laura Childs,1,Sweet Tea Revenge.jpg,0.9934572577476501
229,Breaking Point,C. J. Box,1,Breaking Point.jpg,1.0
230,Bloodfire Quest,Terry Brooks,1,Bloodfire Quest.jpg,0.9999994039535522
231,The Supremes at Earl's All-You-Can-Eat,Edward Kelsey Moore,1,The Supremes at Earl's All-You-Can-Eat.jpg,0.9999624490737915
232,Six Years,Harlan Coben,1,Six Years.jpg,0.9999994039535522
233,The Accursed,Joyce Carol Oates,1,The Accursed.jpg,0.035540975630283356
234,Family Pictures,Jane Green,1,Family Pictures.jpg,0.003095438238233328
235,Lover At Last,J.R. Ward,1,Lover At Last.jpg,0.9956419467926025
236,The Burgess Boys,Elizabeth Strout,1,The Burgess Boys.jpg,0.9999998807907104
237,The Golden Egg,Donna Leon,1,The Golden Egg.jpg,1.0
238,Z: A Novel of Zelda Fitzgerald,Therese Anne Fowler,1,Z: A Novel of Zelda Fitzgerald.jpg,2.033455893979408e-05
239,Death of Yesterday,M. C. Beaton,1,Death of Yesterday.jpg,0.9999997615814209
240,Ordinary Grace,William Kent Krueger,1,Ordinary Grace.jpg,2.7948774004471488e-05
241,Starting Now,Debbie Macomber,1,Starting Now.jpg,0.9999980926513672
242,Manuscript Found in Accra,Paulo Coelho,1,Manuscript Found in Accra.jpg,0.9995530247688293
243,Life After Life,Kate Atkinson,1,Life After Life.jpg,0.9950017333030701
244,All That Is,James Salter,1,All That Is.jpg,0.9993884563446045
245,Reconstructing Amelia,Kimberly McCreight,1,Reconstructing Amelia.jpg,0.9998629093170166
246,All You Could Ask For,Mike Greenberg,1,All You Could Ask For.jpg,0.9993942975997925
247,No Way Back,Andrew Gross,1,No Way Back.jpg,1.0
248,Daddy's Gone A Hunting,Mary Higgins Clark,1,Daddy's Gone A Hunting.jpg,0.47919753193855286
249,Don't Go,Lisa Scottoline,1,Don't Go.jpg,0.9963175058364868
250,Unintended Consequences,Stuart Woods,1,Unintended Consequences.jpg,1.0
251,The Interestings,Meg Wolitzer,1,The Interestings.jpg,1.0
252,Tapestry of Fortunes,Elizabeth Berg,1,Tapestry of Fortunes.jpg,0.9999934434890747
253,Midnight at Marble Arch,Anne Perry,1,Midnight at Marble Arch.jpg,1.0
254,Miss Julia Stirs Up Trouble,Ann B. Ross,1,Miss Julia Stirs Up Trouble.jpg,0.9991819262504578
255,Whiskey Beach,Nora Roberts,1,Whiskey Beach.jpg,0.9999979734420776
256,Taking Eve,Iris Johansen,1,Taking Eve.jpg,1.0
257,A Man Without Breath,Philip Kerr,1,A Man Without Breath.jpg,7.677033408981515e-07
258,The Hit,David Baldacci,1,The Hit.jpg,1.0
259,Fly Away,Kristin Hannah,1,Fly Away.jpg,1.0
260,Paris,Edward Rutherfurd,1,Paris.jpg,0.9999679327011108
261,Wedding Night,Sophie Kinsella,1,Wedding Night.jpg,0.3588443696498871
262,The Mystery Woman,Amanda Quick,1,The Mystery Woman.jpg,0.9999998807907104
263,Maya's Notebook,Isabel Allende,1,Maya's Notebook.jpg,0.9930241107940674
264,12th of Never,James Patterson,1,12th of Never.jpg,1.0
265,Best Kept Secret,Jeffrey Archer,1,Best Kept Secret.jpg,0.9999997615814209
266,NOS4A2,Joe Hill,1,NOS4A2.jpg,0.9463896155357361
267,The Apple Orchard,Susan Wiggs,1,The Apple Orchard.jpg,0.03855586051940918
268,"Someday, Someday, Maybe",Lauren Graham,1,"Someday, Someday, Maybe.jpg",0.9999948740005493
269,The Woman Upstairs,Claire Messud,1,The Woman Upstairs.jpg,0.9999939203262329
270,Dead Ever After,Charlaine Harris,1,Dead Ever After.jpg,0.9999964237213135
271,Silken Prey,John Sandford,1,Silken Prey.jpg,1.0
272,A Step of Faith,Richard Paul Evans,1,A Step of Faith.jpg,0.9999504089355469
273,A Delicate Truth,John le Carré,1,A Delicate Truth.jpg,0.999771773815155
274,Robert B. Parker's Wonderland,Ace Atkins,1,Robert B. Parker's Wonderland.jpg,1.0
275,The Ophelia Cut,John Lescroart,1,The Ophelia Cut.jpg,1.0
276,Inferno,Dan Brown,1,Inferno.jpg,0.00507762236520648
277,Little Green,Walter Mosley,1,Little Green.jpg,0.009797975420951843
278,Magician's End,Raymond E. Feist,1,Magician's End.jpg,0.9994490742683411
279,And the Mountains Echoed,Khaled Hosseini,1,And the Mountains Echoed.jpg,1.0
280,A Chain of Thunder,Jeff Shaara,1,A Chain of Thunder.jpg,0.9718334674835205
281,The Fall of Arthur,J.R.R. Tolkien,1,The Fall of Arthur.jpg,0.014596782624721527
282,Storm Front,Richard Castle,1,Storm Front.jpg,1.0
283,Deeply Odd,Dean R. Koontz,1,Deeply Odd.jpg,1.0
284,Zero Hour,Clive Cussler,1,Zero Hour.jpg,0.9999935626983643
285,The Son,Philipp Meyer,1,The Son.jpg,0.9999758005142212
286,Looking for Me,Beth Hoffman,1,Looking for Me.jpg,0.9999973773956299
287,Revenge Wears Prada,Lauren Weisberger,1,Revenge Wears Prada.jpg,0.9991275668144226
288,The Kill Room,Jeffery Deaver,1,The Kill Room.jpg,0.9999983310699463
289,Ladies' Night,Mary Kay Andrews,1,Ladies' Night.jpg,0.9998351335525513
290,TransAtlantic,Colum McCann,1,TransAtlantic.jpg,0.9983751773834229
291,A Serpent's Tooth,Craig Johnson,1,A Serpent's Tooth.jpg,0.999988317489624
292,Red Sparrow,Jason Matthews,1,Red Sparrow.jpg,1.0
293,The Yonahlossee Riding Camp for Girls,Anton DiSclafani,1,The Yonahlossee Riding Camp for Girls.jpg,0.999990701675415
294,Bad Monkey,Carl Hiaasen,1,Bad Monkey.jpg,4.683477527578361e-05
295,The Silver Star,Jeannette Walls,1,The Silver Star.jpg,1.0
296,The Eye of Moloch,Glenn Beck,1,The Eye of Moloch.jpg,1.0
297,The King's Deception,Steve Berry,1,The King's Deception.jpg,1.0
298,The Last Original Wife,Dorothea Benton Frank,1,The Last Original Wife.jpg,0.9970012307167053
299,The Ocean at the End of the Lane,Neil Gaiman,1,The Ocean at the End of the Lane.jpg,0.9999997615814209
300,The Heist,Janet Evanovich,1,The Heist.jpg,1.0
301,The 9th Girl,Tami Hoag,1,The 9th Girl.jpg,0.9999966621398926
302,Sweet Salt Air,Barbara Delinsky,1,Sweet Salt Air.jpg,0.9999417066574097
303,Second Honeymoon -- Free Preview -- The First 16 Chapters,James Patterson,1,Second Honeymoon -- Free Preview -- The First 16 Chapters.jpg,1.0
304,The Eye of God,James Rollins,1,The Eye of God.jpg,0.9999991655349731
305,Beautiful Day,Elin Hilderbrand,1,Beautiful Day.jpg,0.8752149939537048
306,Sisterland,Curtis Sittenfeld,1,Sisterland.jpg,0.6563328504562378
307,Tell Me,Lisa Jackson,1,Tell Me.jpg,0.9054630398750305
308,Affliction,Laurell K. Hamilton,1,Affliction.jpg,1.0
309,Unseen,Karin Slaughter,1,Unseen.jpg,1.0
310,William Shakespeare's Star Wars,Ian Doescher,1,William Shakespeare's Star Wars.jpg,0.9999951124191284
311,MacRieve,Kresley Cole,1,MacRieve.jpg,0.9998300075531006
312,Hidden Order,Brad Thor,1,Hidden Order.jpg,0.9981234669685364
313,Bombshell,Catherine Coulter,1,Bombshell.jpg,1.0
314,The Light in the Ruins,Chris Bohjalian,1,The Light in the Ruins.jpg,0.9999927282333374
315,Crucible,Troy Denning,1,Crucible.jpg,1.0
316,The English Girl,Daniel Silva,1,The English Girl.jpg,0.9999998807907104
317,The Cuckoo's Calling,Robert Galbraith,1,The Cuckoo's Calling.jpg,1.0
318,First Sight,Danielle Steel,1,First Sight.jpg,0.9999881982803345
319,Witch Wraith,Terry Brooks,1,Witch Wraith.jpg,0.9999920129776001
320,Hunting Eve,Iris Johansen,1,Hunting Eve.jpg,0.9999961853027344
321,"Love, Dishonor, Marry, Die, Cherish, Perish",David Rakoff,1,"Love, Dishonor, Marry, Die, Cherish, Perish.jpg",0.999988317489624
322,Light of the World,James Lee Burke,1,Light of the World.jpg,0.9999920129776001
323,The White Princess,Philippa Gregory,1,The White Princess.jpg,0.9999476671218872
324,The Highway,C.J. Box,1,The Highway.jpg,0.9999997615814209
325,The Husband's Secret,Liane Moriarty,1,The Husband's Secret.jpg,0.9999997615814209
326,Blood and Beauty,Sarah Dunant,1,Blood and Beauty.jpg,0.9999899864196777
327,Mistress,James Patterson,1,Mistress.jpg,0.08080137521028519
328,Hotshot,Julie Garwood,1,Hotshot.jpg,1.0
329,The Last Witness,W. E. B. Griffin,1,The Last Witness.jpg,1.0
330,The Companions,R. A. Salvatore,1,The Companions.jpg,0.9999991655349731
331,Rose Harbor in Bloom,Debbie Macomber,1,Rose Harbor in Bloom.jpg,0.9999921321868896
332,The Last Kiss Goodbye,Karen Robards,1,The Last Kiss Goodbye.jpg,0.999596893787384
333,The Third Kingdom,Terry Goodkind,1,The Third Kingdom.jpg,1.0
334,Night Film,Marisha Pessl,1,Night Film.jpg,1.0
335,The Bone Season,Samantha Shannon,1,The Bone Season.jpg,0.9998121857643127
336,The Kill List,Frederick Forsyth,1,The Kill List.jpg,1.0
337,Tamarack County,William Kent Krueger,1,Tamarack County.jpg,1.0
338,The Girl You Left Behind,Jojo Moyes,1,The Girl You Left Behind.jpg,1.0
339,Compound Fractures,Stephen White,1,Compound Fractures.jpg,1.0
340,The Daughters of Mars,Thomas Keneally,1,The Daughters of Mars.jpg,0.9998056292533875
341,How the Light Gets In,Louise Penny,1,How the Light Gets In.jpg,0.9963605999946594
